"job_title","level","n_postings","mean_salary","median_salary"
"Director of Data Science","Director","20","229694",213750
"Head of Data Science","Head","14","223557",202500
"Senior Principal Data Scientist","Principal","11","178456",195000
"Director, Data Science","Director","14","193829",193750
"Data Science Manager","Manager","39","179371",183320
"Staff Data Scientist","Other","53","175094",175000
"Principal Data Scientist","Principal","108","178928",175000
"Senior Data Scientist (Remote)","Senior","23","163196",170000
"Data Scientist, Product Analytics - Monetization","Other","11","176091",165000
"Senior Data Scientist","Senior","578","151749",157500
"Senior Manager, Data Science","Senior","16","153524",156219
"Lead Data Scientist","Principal","166","153100",155000
"Data Scientist, Product Analytics","Other","16","152469",150000
"Sr. Data Scientist","Other","68","134075",140000
"Analytics Engineer","Other","29","135900",139216
"Data Scientist Jobs","Other","11","124545",137500
"Senior Data Scientist PD23R103 - Bureau of Health Workforce","Senior","14","135145",135144.5
"Sr Data Scientist","Other","44","128148",125000
"Manager, Data Science","Manager","15","140047",125000
"Marketing Data Scientist","Other","13","130068",125000
"Data Scientist (Remote)","Other","18","128791",125000
"Data Scientist 2","Other","10","127489",122500
"Data Scientist","Other","1554","124087",120000
"Data scientist","Other","32","131916",119000
"Data Scientist I","Other","24","113599",116250
"Data Scientist, Mid","Associate","27","113141",115000
"Data Scientist, Senior","Senior","14","121996",115000
"Data Scientist III","Other","16","117335",115000
"Data Scientist II","Other","43","112098",115000
"Research Data Scientist","Other","11","103475",110000
"Data Scientist - Junior to Mid","Associate","10","109500",109500
"Healthcare Data Scientist","Other","10","112940",107500
"Cleared Data Scientist","Other","12","116398",107500
"DATA SCIENTIST","Other","43","103060",100703
"Associate Data Scientist","Associate","12","101124",94350
"Data Science Team Lead","Principal","11","107527",90000
"Data Specialist","Other","10","74750",76250
"Junior Data Scientist","Junior","41","81617",75000
